"col_names","strategy","lab","sample","rep","batch"
"T_L1_D5_1","Targeted","L1","D5","1","1"
"T_L1_D5_2","Targeted","L1","D5","2","1"
"T_L1_D5_3","Targeted","L1","D5","3","1"
"T_L1_D6_1","Targeted","L1","D6","1","1"
"T_L1_D6_2","Targeted","L1","D6","2","1"
"T_L1_D6_3","Targeted","L1","D6","3","1"
"T_L1_M8_1","Targeted","L1","M8","1","1"
"T_L1_M8_2","Targeted","L1","M8","2","1"
"T_L1_M8_3","Targeted","L1","M8","3","1"
"T_L1_F7_1","Targeted","L1","F7","1","1"
"T_L1_F7_2","Targeted","L1","F7","2","1"
"T_L1_F7_3","Targeted","L1","F7","3","1"
